,objFn_best,objFn_avg
285,1285.9825192388041,1299.023028428185
286,1285.8987068915847,1296.9879524761625
287,1280.685225837207,1293.6155412229325
288,1280.685225837207,1291.0724761957972
289,1279.4013671934176,1287.994211025123
290,1277.877738538268,1285.1978821873158
291,1277.877738538268,1283.0678831822622
292,1274.8455217969354,1281.727476342697
293,1272.130976138275,1279.7842588593242
294,1271.0239235042168,1277.2968203734429
295,1263.378446916966,1275.5484916136827
296,1258.688403771502,1273.3174786840982
297,1258.688403771502,1271.3697814155892
298,1258.6505777575398,1268.3380994395777
299,1257.9602882614656,1265.1730623437054
300,1251.154955660614,1262.3137373679624
301,1249.9926202970157,1259.3441680289216
302,1244.468877205091,1256.7235320920884
303,1244.303578105539,1253.0320411766822
304,1237.5568204273766,1248.8265602526478
305,1237.5568204273766,1246.115653924588
306,1230.4337617198048,1243.2805713792102
307,1230.4337617198048,1240.8961389980348
308,1227.4501391492918,1238.6580992990805
309,1224.5737538227045,1235.8379534358835
310,1222.9522633904,1233.454945043486
311,1221.2487918057643,1230.4793965394242
312,1221.2487918057643,1228.2733671199376
313,1215.2057859373278,1225.9441220544848
314,1210.4586937512527,1223.0075171968206
315,1210.4586937512527,1220.570616131966
316,1207.924679243606,1217.2144112634962
317,1207.4851421089222,1214.377426313459
318,1199.7672088471418,1211.3966622264786
319,1199.6299303374242,1208.302363604745
320,1195.667812851453,1205.1248661176485
321,1193.1131158044584,1202.4525813938722
322,1193.1131158044584,1199.870792702884
323,1190.9510633376992,1198.2119847783517
324,1186.8411013350476,1196.2888172467178
325,1179.81922938542,1193.8332421381658
326,1179.81922938542,1191.8588325252424
327,1170.4653951149342,1189.4620573417983
328,1170.4653951149342,1186.340142942229
329,1170.4653951149342,1182.8170800810542
330,1166.7715416482733,1179.3027459842788
331,1155.0497329177656,1176.8359846653973
332,1150.9736236904384,1172.8355854995941
333,1144.8102326671985,1168.1721600253652
334,1144.8102326671985,1164.2621585001245
335,1142.2578555333403,1158.6849035610478
336,1140.1553119000992,1153.8441846828848
337,1140.1553119000992,1148.6075200846076
338,1139.0439992414665,1145.7718193979042
339,1139.0439992414665,1144.2151432503622
340,1133.5854224383186,1142.5453635706358
341,1133.5854224383186,1140.2080475018768
342,1128.7451813278797,1137.921425658581
343,1122.707893896547,1135.6620650668021
344,1122.707893896547,1133.4304541889371
345,1122.707893896547,1131.9847507968746
346,1118.8023331015806,1129.668276478938
347,1113.9807923822143,1127.1956954298023
348,1113.9807923822143,1124.530050224869
349,1113.2333692460652,1121.1151131906204
350,1111.6514198553355,1118.7205890251603
351,1109.2723223539517,1116.1381433830757
352,1095.2375827092803,1113.8183610151455
353,1095.1168428465164,1110.647006876989
354,1094.456110322463,1107.153731488412
355,1094.456110322463,1105.3536746308366
356,1094.456110322463,1102.4346586698073
357,1093.1699123712256,1100.2694595207622
358,1091.6791424233747,1097.9201564308391
359,1089.9582619219286,1095.3076891119579
360,1088.806975480553,1093.8102159752818
361,1088.5041447284589,1092.2735069931975
362,1086.9218553948754,1090.7300853752483
363,1085.1345434872003,1089.4320263179027
364,1085.1345434872003,1088.048181898182
365,1083.9365570954144,1086.8391424131278
366,1082.4767544011797,1085.7445264325045
367,1082.1508861435173,1084.7509801847993
368,1081.738317688305,1084.163508540689
369,1079.397190039997,1083.3983504642163
370,1079.0547040895985,1082.174790782858
371,1077.6429937343933,1081.457806498433
372,1077.526092995651,1080.725453157694
373,1077.526092995651,1080.0273763226096
374,1076.4909501455368,1079.1534091540934
375,1075.4246598758023,1078.4438675817607
376,1074.4211605824962,1078.0361667188074
377,1074.126224058777,1077.074851326558
378,1072.4576027913133,1076.1825348036923
379,1072.4576027913133,1075.3290207724333
380,1070.319092682341,1074.4908635968768
381,1067.7063586544537,1073.376501454302
382,1067.7063586544537,1072.1218491129193
383,1067.7063586544537,1071.2199450869452
384,1066.5156344744018,1070.168668334645
385,1066.5156344744018,1069.850445466979
386,1066.5156344744018,1069.2508943947325
